rank	name	state	age_45_54	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Forsyth County	Georgia	16.5	252,786	260,206	1,503	7,420	447
2	Union County	North Carolina	16.3	239,287	243,648	1,020	4,361	149
3	Hunterdon County	New Jersey	16.1	128,839	129,924	-108	1,085	117
4	Douglas County	Colorado	16.0	360,102	368,990	2,124	8,888	170
5	Loudoun County	Virginia	15.8	422,597	427,592	1,638	4,995	320
6	Charles County	Maryland	15.7	166,682	168,698	65	2,016	142
7	Sussex County	New Jersey	15.6	144,082	145,543	-139	1,461	108
7	Marin County	California	15.6	261,776	260,206	-545	-1,570	193
8	Somerset County	New Jersey	15.5	345,014	345,647	-347	633	442
8	Paulding County	Georgia	15.5	169,660	173,780	999	4,120	215
9	Williamson County	Tennessee	15.3	249,424	255,735	1,698	6,311	169
9	Morris County	New Jersey	15.3	509,001	510,981	-284	1,980	428
9	Henry County	Georgia	15.3	241,818	245,235	1,106	3,417	297
10	Rockingham County	New Hampshire	15.2	314,430	316,947	254	2,517	176
10	Warren County	New Jersey	15.2	109,595	110,731	-37	1,136	120
