rank	name	state	age_5_under	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Utah County	Utah	9.3	663,143	684,986	3,744	21,843	132
1	Webb County	Texas	9.3	267,234	267,945	120	711	31
2	Ector County	Texas	9.0	165,467	161,091	296	-4,376	69
3	Hidalgo County	Texas	8.9	872,204	880,356	1,423	8,152	216
4	Midland County	Texas	8.8	170,221	167,969	238	-2,252	72
5	Onslow County	North Carolina	8.6	204,735	206,160	159	1,425	104
6	Bell County	Texas	8.4	371,981	379,617	1,334	7,636	139
6	Bonneville County	Idaho	8.4	124,626	127,930	662	3,304	26
6	Cache County	Utah	8.4	133,527	137,417	373	3,890	46
6	Montgomery County	Tennessee	8.4	221,160	227,900	1,091	6,740	163
7	Davis County	Utah	8.3	363,492	367,285	813	3,793	474
8	Cameron County	Texas	8.1	421,191	423,029	174	1,838	183
8	Rockland County	New York	8.1	338,121	339,227	-208	1,106	754
9	Yakima County	Washington	8.0	256,533	256,035	-195	-498	23
9	Tulare County	California	8.0	473,736	477,054	619	3,318	38
9	Imperial County	California	8.0	179,489	179,851	-213	362	17
10	Wyandotte County	Kansas	7.9	168,873	167,046	-372	-1,827	425
