rank	name	state	age_65_over	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	57.8	130,897	135,638	1,145	4,741	94
2	Charlotte County	Florida	40.1	187,960	194,843	1,113	6,883	110
3	Sarasota County	Florida	36.7	435,664	447,057	1,658	11,393	310
4	Citrus County	Florida	36.4	154,403	158,083	560	3,680	105
5	Highlands County	Florida	35.7	101,222	103,296	-13	2,074	39
6	Indian River County	Florida	32.9	160,345	163,662	557	3,317	126
7	Collier County	Florida	32.2	377,079	385,980	1,327	8,901	75
8	Yavapai County	Arizona	31.6	237,067	242,253	858	5,186	12
9	Brunswick County	North Carolina	31.5	138,084	144,215	1,391	6,131	66
10	Martin County	Florida	31.2	158,529	159,942	98	1,413	114
