rank	name	state	age_median	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	68.0	130,897	135,638	1,145	4,741	94
2	Charlotte County	Florida	59.5	187,960	194,843	1,113	6,883	110
3	Citrus County	Florida	56.7	154,403	158,083	560	3,680	105
4	Sarasota County	Florida	56.6	435,664	447,057	1,658	11,393	310
5	Brunswick County	North Carolina	54.7	138,084	144,215	1,391	6,131	66
6	Highlands County	Florida	54.1	101,222	103,296	-13	2,074	39
6	Yavapai County	Arizona	54.1	237,067	242,253	858	5,186	12
7	Indian River County	Florida	54.0	160,345	163,662	557	3,317	126
8	Barnstable County	Massachusetts	53.7	228,969	232,411	-27	3,442	228
9	Martin County	Florida	52.7	158,529	159,942	98	1,413	114
10	Mohave County	Arizona	52.3	214,070	217,692	803	3,622	6
