rank	name	state	age_under18	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Utah County	Utah	33.3	663,143	684,986	3,744	21,843	132
2	Webb County	Texas	32.9	267,234	267,945	120	711	31
3	Hidalgo County	Texas	32.6	872,204	880,356	1,423	8,152	216
4	Davis County	Utah	32.1	363,492	367,285	813	3,793	474
5	Tulare County	California	30.8	473,736	477,054	619	3,318	38
6	Bonneville County	Idaho	30.7	124,626	127,930	662	3,304	26
7	Cameron County	Texas	30.4	421,191	423,029	174	1,838	183
8	Cache County	Utah	30.3	133,527	137,417	373	3,890	46
8	Ector County	Texas	30.3	165,467	161,091	296	-4,376	69
9	Yakima County	Washington	29.7	256,533	256,035	-195	-498	23
10	Merced County	California	29.5	281,726	286,461	524	4,735	57
10	Grant County	Washington	29.5	99,365	100,297	242	932	14
