rank	name	state	ancestry_american	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Johnson County	Texas	33.0	180,733	187,280	806	6,547	100
2	Cleveland County	North Carolina	30.2	99,725	100,359	206	634	83
3	Carroll County	Georgia	27.6	119,463	121,968	315	2,505	94
4	Montgomery County	Alabama	26.2	228,448	227,434	-506	-1,014	112
5	Robeson County	North Carolina	25.6	116,361	116,328	-169	-33	47
6	Trumbull County	Ohio	23.8	201,405	201,335	-572	-70	126
7	Baldwin County	Alabama	23.2	233,140	239,294	1,373	6,154	58
8	Maury County	Tennessee	22.8	101,700	104,760	726	3,060	66
9	Wayne County	North Carolina	20.5	117,226	116,835	-107	-391	81
10	Aiken County	South Carolina	20.2	169,032	170,776	224	1,744	62
10	Sullivan County	Tennessee	20.2	158,092	159,265	-71	1,173	149
