rank	name	state	ancestry_arab	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Wayne County	Michigan	5.8	1,790,225	1,774,816	-3,336	-15,409	1,120
2	Macomb County	Michigan	3.1	880,349	876,792	-868	-3,557	706
3	Passaic County	New Jersey	3.0	523,100	518,117	-1,018	-4,983	1,075
4	Hudson County	New Jersey	2.8	722,655	702,463	-2,199	-20,192	5,871
5	Richmond County	New York	2.7	495,522	493,494	-225	-2,028	3,312
5	Davidson County	Tennessee	2.7	715,486	703,953	-398	-11,533	540
6	Lehigh County	Pennsylvania	2.6	374,504	375,539	-53	1,035	420
6	Oakland County	Michigan	2.6	1,272,408	1,270,017	-1,987	-2,391	565
7	Fairfax County	Virginia	2.4	1,148,472	1,139,720	-1,837	-8,752	1,125
8	Alexandria city	Virginia	2.2	159,097	154,706	-370	-4,391	3,999
9	Arlington County	Virginia	2.0	238,766	232,965	123	-5,801	3,460
9	Washtenaw County	Michigan	2.0	371,656	369,390	-602	-2,266	202
10	Loudoun County	Virginia	1.9	422,597	427,592	1,638	4,995	320
10	Monongalia County	West Virginia	1.9	105,916	106,387	94	471	114
