rank	name	state	ancestry_czech	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Linn County	Iowa	5.1	230,263	228,939	-36	-1,324	123
2	Lancaster County	Nebraska	4.9	322,910	324,514	302	1,604	150
3	Johnson County	Iowa	3.6	152,984	154,748	130	1,764	97
4	Douglas County	Nebraska	3.4	585,010	585,008	484	-2	692
4	Sarpy County	Nebraska	3.4	191,114	193,418	510	2,304	314
5	Scott County	Minnesota	2.7	151,265	153,268	337	2,003	166
6	La Crosse County	Wisconsin	2.5	120,852	120,433	68	-419	103
6	McLennan County	Texas	2.5	261,023	263,115	444	2,092	98
7	Pennington County	South Dakota	2.4	109,475	111,806	253	2,331	16
8	Marathon County	Wisconsin	2.3	137,954	137,648	-59	-306	34
9	Brown County	Wisconsin	2.1	268,741	269,591	1	850	196
10	Racine County	Wisconsin	1.9	197,440	196,896	-287	-544	229
10	Carver County	Minnesota	1.9	107,286	108,626	364	1,340	118
10	DuPage County	Illinois	1.9	931,153	924,885	-1,724	-6,268	1,089
