rank	name	state	ancestry_danish	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Cache County	Utah	6.5	133,527	137,417	373	3,890	46
2	Utah County	Utah	5.3	663,143	684,986	3,744	21,843	132
3	Davis County	Utah	4.8	363,492	367,285	813	3,793	474
4	Washington County	Utah	4.3	181,924	191,226	1,645	9,302	30
5	Racine County	Wisconsin	4.0	197,440	196,896	-287	-544	229
6	Salt Lake County	Utah	3.7	1,186,236	1,186,421	998	185	617
7	Weber County	Utah	3.5	262,828	267,066	605	4,238	179
8	Bonneville County	Idaho	3.1	124,626	127,930	662	3,304	26
9	Douglas County	Nebraska	2.0	585,010	585,008	484	-2	692
10	Dallas County	Iowa	1.9	100,486	103,796	808	3,310	68
10	Minnehaha County	South Dakota	1.9	197,511	199,685	297	2,174	96
