rank	name	state	ancestry_dutch	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Ottawa County	Michigan	28.2	296,787	299,157	587	2,370	205
2	Allegan County	Michigan	21.7	120,596	120,950	94	354	57
3	Kent County	Michigan	16.3	658,040	658,046	66	6	299
4	Outagamie County	Wisconsin	9.1	190,832	191,545	127	713	116
5	Muskegon County	Michigan	8.9	175,817	176,511	-7	694	135
6	Kalamazoo County	Michigan	8.7	261,629	261,108	-41	-521	179
7	Sheboygan County	Wisconsin	6.9	117,937	117,747	-97	-190	89
8	Minnehaha County	South Dakota	6.4	197,511	199,685	297	2,174	96
9	Whatcom County	Washington	5.7	227,304	228,831	457	1,527	42
10	Ontario County	New York	5.2	112,475	112,508	17	33	67
