rank	name	state	ancestry_english	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Utah County	Utah	28.1	663,143	684,986	3,744	21,843	132
2	Washington County	Utah	28.0	181,924	191,226	1,645	9,302	30
3	Cache County	Utah	27.5	133,527	137,417	373	3,890	46
4	Davis County	Utah	26.8	363,492	367,285	813	3,793	474
5	Buncombe County	North Carolina	21.5	269,621	271,534	169	1,913	160
6	Salt Lake County	Utah	20.3	1,186,236	1,186,421	998	185	617
7	Weber County	Utah	20.2	262,828	267,066	605	4,238	179
7	Cumberland County	Maine	20.2	303,312	305,231	243	1,919	141
8	Whitfield County	Georgia	20.0	102,727	102,848	-137	121	137
9	Bonneville County	Idaho	19.9	124,626	127,930	662	3,304	26
10	Ada County	Idaho	19.7	497,984	511,931	3,017	13,947	188
