rank	name	state	ancestry_french	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Kennebec County	Maine	18.8	123,754	124,486	112	732	55
2	Terrebonne Parish	Louisiana	18.5	109,319	108,708	-261	-611	34
3	Lafayette Parish	Louisiana	18.1	242,004	244,205	251	2,201	351
4	Ascension Parish	Louisiana	18.0	126,984	128,369	484	1,385	171
5	Androscoggin County	Maine	17.9	111,039	111,034	-100	-5	92
6	Livingston Parish	Louisiana	16.3	142,726	145,830	444	3,104	87
7	St. Tammany Parish	Louisiana	15.8	264,933	269,388	363	4,455	123
8	Penobscot County	Maine	14.4	152,007	152,765	-192	758	17
9	Windham County	Connecticut	14.0	116,240	116,418	-178	178	88
10	York County	Maine	13.8	212,089	214,591	117	2,502	84
