rank	name	state	ancestry_frenchcanadian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Androscoggin County	Maine	19.5	111,039	111,034	-100	-5	92
2	York County	Maine	10.9	212,089	214,591	117	2,502	84
3	Hillsborough County	New Hampshire	9.9	422,705	424,079	-232	1,374	187
4	Windham County	Connecticut	9.5	116,240	116,418	-178	178	88
5	Strafford County	New Hampshire	9.0	131,006	132,416	117	1,410	139
6	Chittenden County	Vermont	8.7	168,289	168,865	-34	576	121
6	Merrimack County	New Hampshire	8.7	153,922	155,238	114	1,316	64
7	Calcasieu Parish	Louisiana	8.2	216,416	205,282	-369	-11,134	74
8	Kennebec County	Maine	8.1	123,754	124,486	112	732	55
9	Rockingham County	New Hampshire	7.7	314,430	316,947	254	2,517	176
10	Lafayette Parish	Louisiana	6.3	242,004	244,205	251	2,201	351
10	St. Lawrence County	New York	6.3	108,311	108,051	-194	-260	16
