rank	name	state	ancestry_german	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Washington County	Wisconsin	53.1	136,732	137,175	-29	443	123
2	Fond du Lac County	Wisconsin	50.2	104,076	104,362	-78	286	56
3	Marathon County	Wisconsin	48.8	137,954	137,648	-59	-306	34
4	Sheboygan County	Wisconsin	48.3	117,937	117,747	-97	-190	89
5	Stearns County	Minnesota	46.7	158,349	158,947	57	598	46
6	Winnebago County	Wisconsin	44.5	171,646	171,623	-84	-23	152
7	Waukesha County	Wisconsin	43.6	407,148	408,756	170	1,608	287
8	La Crosse County	Wisconsin	43.4	120,852	120,433	68	-419	103
9	Outagamie County	Wisconsin	42.5	190,832	191,545	127	713	116
10	Carver County	Minnesota	41.5	107,286	108,626	364	1,340	118
