rank	name	state	ancestry_greek	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Essex County	Massachusetts	1.9	809,218	807,074	-611	-2,144	633
2	Hillsborough County	New Hampshire	1.8	422,705	424,079	-232	1,374	187
3	Rockingham County	New Hampshire	1.7	314,430	316,947	254	2,517	176
4	Nassau County	New York	1.6	1,393,978	1,390,907	-1,796	-3,071	1,887
5	Middlesex County	Massachusetts	1.4	1,629,422	1,614,742	-2,580	-14,680	762
6	DuPage County	Illinois	1.3	931,153	924,885	-1,724	-6,268	1,089
6	Norfolk County	Massachusetts	1.3	726,025	724,505	44	-1,520	706
6	Fairfield County	Connecticut	1.3	955,895	959,768	-1,524	3,873	593
6	Strafford County	New Hampshire	1.3	131,006	132,416	117	1,410	139
6	Suffolk County	New York	1.3	1,524,099	1,526,344	-1,821	2,245	647
6	Mahoning County	Ohio	1.3	227,948	226,762	-666	-1,186	213
6	Queens County	New York	1.3	2,395,791	2,331,143	-9,673	-64,648	8,278
7	Stark County	Ohio	1.2	374,357	373,834	-496	-523	251
7	Porter County	Indiana	1.2	173,256	174,243	41	987	161
7	Hunterdon County	New Jersey	1.2	128,839	129,924	-108	1,085	117
7	Pinellas County	Florida	1.2	958,752	956,615	-355	-2,137	1,349
8	Bergen County	New Jersey	1.1	954,774	953,819	-958	-955	1,582
8	Windham County	Connecticut	1.1	116,240	116,418	-178	178	88
8	Merrimack County	New Hampshire	1.1	153,922	155,238	114	1,316	64
9	Trumbull County	Ohio	1.0	201,405	201,335	-572	-70	126
9	Arlington County	Virginia	1.0	238,766	232,965	123	-5,801	3,460
9	Lake County	Illinois	1.0	713,217	711,239	-1,125	-1,978	619
9	Lake County	Indiana	1.0	498,597	498,558	-103	-39	386
9	Tolland County	Connecticut	1.0	149,650	150,293	-138	643	141
9	Morris County	New Jersey	1.0	509,001	510,981	-284	1,980	428
10	Macomb County	Michigan	0.9	880,349	876,792	-868	-3,557	706
10	Pasco County	Florida	0.9	565,745	584,067	3,854	18,322	302
10	Delaware County	Pennsylvania	0.9	576,388	573,849	-442	-2,539	1,205
10	Cook County	Illinois	0.9	5,262,741	5,173,146	-12,800	-89,595	2,114
10	Monmouth County	New Jersey	0.9	643,163	645,354	-452	2,191	532
10	McHenry County	Illinois	0.9	309,770	311,122	-459	1,352	199
10	Beaver County	Pennsylvania	0.9	167,732	166,624	-483	-1,108	148
10	Medina County	Ohio	0.9	182,550	183,092	80	542	168
10	Washington County	Rhode Island	0.9	129,753	130,592	-86	839	153
10	York County	Maine	0.9	212,089	214,591	117	2,502	84
10	Dutchess County	New York	0.9	295,742	297,112	-169	1,370	144
