rank	name	state	ancestry_hungarian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Medina County	Ohio	4.5	182,550	183,092	80	542	168
2	Lorain County	Ohio	4.4	313,367	315,595	403	2,228	248
3	Rockland County	New York	4.2	338,121	339,227	-208	1,106	754
4	Lake County	Ohio	4.0	232,410	232,023	-193	-387	391
5	Portage County	Ohio	3.4	161,775	162,382	-16	607	129
6	Summit County	Ohio	3.0	539,530	537,633	-898	-1,897	503
7	Cuyahoga County	Ohio	2.8	1,261,696	1,249,387	-3,121	-12,309	1,055
8	Orange County	New York	2.7	401,322	404,525	12	3,203	192
9	St. Joseph County	Indiana	2.6	272,549	272,212	-363	-337	230
10	Northampton County	Pennsylvania	2.5	312,855	313,628	-96	773	327
10	Warren County	New Jersey	2.5	109,595	110,731	-37	1,136	120
10	Wood County	Ohio	2.5	132,212	132,472	-36	260	83
