rank	name	state	ancestry_irish	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Plymouth County	Massachusetts	30.0	530,979	533,003	160	2,024	313
2	Gloucester County	New Jersey	26.7	302,607	304,477	313	1,870	365
2	Barnstable County	Massachusetts	26.7	228,969	232,411	-27	3,442	228
3	Washington County	Rhode Island	25.5	129,753	130,592	-86	839	153
3	Norfolk County	Massachusetts	25.5	726,025	724,505	44	-1,520	706
4	Rensselaer County	New York	25.3	160,923	160,232	-207	-691	95
5	Lackawanna County	Pennsylvania	25.2	215,516	215,663	-380	147	181
6	Rockingham County	New Hampshire	24.5	314,430	316,947	254	2,517	176
7	Delaware County	Pennsylvania	24.0	576,388	573,849	-442	-2,539	1,205
8	Bucks County	Pennsylvania	23.9	646,008	646,098	-530	90	413
9	Kent County	Rhode Island	23.8	170,323	170,715	-40	392	391
10	Saratoga County	New York	23.7	235,689	237,359	180	1,670	113
