rank	name	state	ancestry_italian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Richmond County	New York	27.9	495,522	493,494	-225	-2,028	3,312
2	Gloucester County	New Jersey	23.9	302,607	304,477	313	1,870	365
3	Monmouth County	New Jersey	23.7	643,163	645,354	-452	2,191	532
4	Suffolk County	New York	23.3	1,524,099	1,526,344	-1,821	2,245	647
5	Ocean County	New Jersey	22.7	638,824	648,998	1,595	10,174	399
6	Sussex County	New Jersey	22.5	144,082	145,543	-139	1,461	108
7	Morris County	New Jersey	21.8	509,001	510,981	-284	1,980	428
8	Middlesex County	Connecticut	21.2	163,923	164,759	-322	836	172
9	Lackawanna County	Pennsylvania	21.0	215,516	215,663	-380	147	181
10	Litchfield County	Connecticut	20.5	184,874	185,000	-312	126	78
10	Warren County	New Jersey	20.5	109,595	110,731	-37	1,136	120
