rank	name	state	ancestry_norwegian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Cass County	North Dakota	29.4	184,868	186,562	343	1,694	41
2	Eau Claire County	Wisconsin	18.6	105,818	106,452	108	634	64
3	La Crosse County	Wisconsin	17.7	120,852	120,433	68	-419	103
4	Minnehaha County	South Dakota	15.3	197,511	199,685	297	2,174	96
5	Carver County	Minnesota	14.8	107,286	108,626	364	1,340	118
6	Olmsted County	Minnesota	14.1	162,991	163,436	144	445	97
7	St. Louis County	Minnesota	13.9	199,962	199,182	-269	-780	12
8	Scott County	Minnesota	13.2	151,265	153,268	337	2,003	166
9	Wright County	Minnesota	13.0	141,759	144,845	422	3,086	85
10	Anoka County	Minnesota	12.7	364,299	367,018	412	2,719	336
