rank	name	state	ancestry_polish	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Luzerne County	Pennsylvania	19.4	325,057	326,053	-537	996	141
2	Erie County	New York	17.1	953,254	950,683	-982	-2,571	352
3	Marathon County	Wisconsin	16.5	137,954	137,648	-59	-306	34
4	Bay County	Michigan	16.4	103,594	102,985	-262	-609	90
5	Lackawanna County	Pennsylvania	15.4	215,516	215,663	-380	147	181
6	Macomb County	Michigan	15.0	880,349	876,792	-868	-3,557	706
7	Waukesha County	Wisconsin	12.7	407,148	408,756	170	1,608	287
7	Livingston County	Michigan	12.7	193,973	195,014	107	1,041	133
8	McHenry County	Illinois	12.5	309,770	311,122	-459	1,352	199
9	Erie County	Pennsylvania	11.8	270,427	269,011	-449	-1,416	130
10	Will County	Illinois	11.7	695,903	697,252	-452	1,349	322
