rank	name	state	ancestry_portuguese	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Bristol County	Massachusetts	24.9	579,172	580,164	-28	992	405
2	Kent County	Rhode Island	8.7	170,323	170,715	-40	392	391
3	Providence County	Rhode Island	7.0	660,015	658,221	-726	-1,794	621
4	Hawaii County	Hawaii	6.2	200,746	202,906	117	2,160	19
5	Merced County	California	5.4	281,726	286,461	524	4,735	57
6	Barnstable County	Massachusetts	4.4	228,969	232,411	-27	3,442	228
7	Kings County	California	4.2	152,627	153,443	141	816	43
8	Stanislaus County	California	4.0	552,710	552,999	-168	289	143
9	Plymouth County	Massachusetts	3.9	530,979	533,003	160	2,024	313
9	Washington County	Rhode Island	3.9	129,753	130,592	-86	839	153
10	Maui County	Hawaii	3.7	164,655	164,221	-99	-434	55
