rank	name	state	ancestry_russian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	New York County	New York	3.6	1,687,834	1,576,876	-6,417	-110,958	26,871
2	Lackawanna County	Pennsylvania	3.5	215,516	215,663	-380	147	181
2	Richmond County	New York	3.5	495,522	493,494	-225	-2,028	3,312
3	Nassau County	New York	3.2	1,393,978	1,390,907	-1,796	-3,071	1,887
4	Palm Beach County	Florida	3.0	1,492,466	1,497,987	275	5,521	294
5	Bergen County	New Jersey	2.8	954,774	953,819	-958	-955	1,582
5	Kings County	New York	2.8	2,727,393	2,641,052	-8,681	-86,341	14,698
6	Marin County	California	2.7	261,776	260,206	-545	-1,570	193
7	Luzerne County	Pennsylvania	2.6	325,057	326,053	-537	996	141
7	Monmouth County	New Jersey	2.6	643,163	645,354	-452	2,191	532
8	Montgomery County	Pennsylvania	2.5	856,947	860,578	394	3,631	688
8	Rockland County	New York	2.5	338,121	339,227	-208	1,106	754
8	Bucks County	Pennsylvania	2.5	646,008	646,098	-530	90	413
8	Lake County	Illinois	2.5	713,217	711,239	-1,125	-1,978	619
9	Montgomery County	Maryland	2.4	1,061,243	1,054,827	-818	-6,416	826
10	Norfolk County	Massachusetts	2.3	726,025	724,505	44	-1,520	706
10	Westchester County	New York	2.3	1,003,245	997,895	-1,212	-5,350	895
