rank	name	state	ancestry_scottish	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Washington County	Utah	4.8	181,924	191,226	1,645	9,302	30
2	Utah County	Utah	4.7	663,143	684,986	3,744	21,843	132
3	Moore County	North Carolina	4.6	100,168	102,763	441	2,595	57
4	Weber County	Utah	4.5	262,828	267,066	605	4,238	179
4	Kennebec County	Maine	4.5	123,754	124,486	112	732	55
4	Davis County	Utah	4.5	363,492	367,285	813	3,793	474
5	Cumberland County	Maine	4.4	303,312	305,231	243	1,919	141
6	Cache County	Utah	4.3	133,527	137,417	373	3,890	46
6	Penobscot County	Maine	4.3	152,007	152,765	-192	758	17
7	Rockingham County	New Hampshire	4.2	314,430	316,947	254	2,517	176
8	Merrimack County	New Hampshire	4.1	153,922	155,238	114	1,316	64
9	Strafford County	New Hampshire	4.0	131,006	132,416	117	1,410	139
9	Buncombe County	North Carolina	4.0	269,621	271,534	169	1,913	160
10	Androscoggin County	Maine	3.9	111,039	111,034	-100	-5	92
10	York County	Maine	3.9	212,089	214,591	117	2,502	84
