rank	name	state	ancestry_scottish_irish	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Henderson County	North Carolina	4.2	116,493	116,829	212	336	121
1	York County	South Carolina	4.2	283,899	288,595	1,809	4,696	164
2	Sullivan County	Tennessee	4.0	158,092	159,265	-71	1,173	149
3	Knox County	Tennessee	3.8	480,126	486,677	1,155	6,551	370
4	Blount County	Tennessee	3.7	135,566	137,605	286	2,039	95
4	Buncombe County	North Carolina	3.7	269,621	271,534	169	1,913	160
5	Washington County	Pennsylvania	3.6	209,157	209,470	-192	313	94
6	Randolph County	North Carolina	3.5	144,334	145,172	163	838	72
7	Rowan County	North Carolina	3.4	147,027	148,150	152	1,123	112
8	Orange County	North Carolina	3.2	148,792	148,884	96	92	145
9	Moore County	North Carolina	3.1	100,168	102,763	441	2,595	57
9	Greenville County	South Carolina	3.1	526,980	533,834	1,446	6,854	262
9	Iredell County	North Carolina	3.1	187,630	191,968	937	4,338	129
9	Gaston County	North Carolina	3.1	228,269	230,856	326	2,587	251
10	Anderson County	South Carolina	3.0	204,032	206,908	314	2,876	112
10	Butler County	Pennsylvania	3.0	193,851	194,273	88	422	95
