rank	name	state	ancestry_slovak	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Cambria County	Pennsylvania	6.2	132,957	132,167	-515	-790	74
2	Westmoreland County	Pennsylvania	5.6	353,998	353,057	-665	-941	133
3	Mahoning County	Ohio	5.4	227,948	226,762	-666	-1,186	213
4	Fayette County	Pennsylvania	5.1	128,393	126,931	-411	-1,462	62
5	Luzerne County	Pennsylvania	4.2	325,057	326,053	-537	996	141
6	Allegheny County	Pennsylvania	3.3	1,248,717	1,238,090	-1,861	-10,627	655
6	Washington County	Pennsylvania	3.3	209,157	209,470	-192	313	94
7	Trumbull County	Ohio	3.0	201,405	201,335	-572	-70	126
7	Medina County	Ohio	3.0	182,550	183,092	80	542	168
8	Butler County	Pennsylvania	2.7	193,851	194,273	88	422	95
9	Mercer County	Pennsylvania	2.6	110,333	109,972	-319	-361	63
10	Beaver County	Pennsylvania	2.4	167,732	166,624	-483	-1,108	148
