rank	name	state	ancestry_subsaharan_african	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Alexandria city	Virginia	9.5	159,097	154,706	-370	-4,391	3,999
2	Prince George's County	Maryland	8.8	965,601	955,306	-1,600	-10,295	764
3	Kankakee County	Illinois	7.7	107,236	106,601	-266	-635	61
4	Montgomery County	Maryland	6.4	1,061,243	1,054,827	-818	-6,416	826
5	Orleans Parish	Louisiana	6.1	383,282	376,971	-715	-6,311	859
6	Hennepin County	Minnesota	5.8	1,281,267	1,267,416	-298	-13,851	883
7	Bronx County	New York	5.4	1,466,438	1,424,948	-6,216	-41,490	13,045
7	Plymouth County	Massachusetts	5.4	530,979	533,003	160	2,024	313
8	DeKalb County	Georgia	5.1	763,831	757,718	-551	-6,113	1,093
9	Prince William County	Virginia	5.0	482,738	484,472	534	1,734	558
10	Baltimore County	Maryland	4.9	853,073	849,316	-1,462	-3,757	548
