rank	name	state	ancestry_swedish	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	St. Louis County	Minnesota	10.3	199,962	199,182	-269	-780	12
2	Chautauqua County	New York	10.2	127,424	126,807	-233	-617	46
3	Anoka County	Minnesota	8.9	364,299	367,018	412	2,719	336
4	Carver County	Minnesota	8.8	107,286	108,626	364	1,340	118
4	Wright County	Minnesota	8.8	141,759	144,845	422	3,086	85
5	Washington County	Minnesota	8.5	268,191	272,256	623	4,065	273
6	Winnebago County	Illinois	7.4	284,858	283,119	-492	-1,739	213
7	Hennepin County	Minnesota	7.3	1,281,267	1,267,416	-298	-13,851	883
8	Ramsey County	Minnesota	6.6	551,480	543,257	-872	-8,223	1,378
9	Dakota County	Minnesota	6.4	440,317	442,038	435	1,721	303
10	Cass County	North Dakota	5.9	184,868	186,562	343	1,694	41
