rank	name	state	ancestry_swiss	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Wayne County	Ohio	5.7	116,840	116,710	-54	-130	81
2	Elkhart County	Indiana	3.4	206,842	206,921	-205	79	172
2	Lancaster County	Pennsylvania	3.4	552,597	553,652	-387	1,055	226
3	Cache County	Utah	2.5	133,527	137,417	373	3,890	46
4	Washington County	Utah	2.2	181,924	191,226	1,645	9,302	30
5	Dane County	Wisconsin	1.9	562,306	563,951	802	1,645	182
5	Lebanon County	Pennsylvania	1.9	143,242	143,493	-15	251	153
6	Franklin County	Pennsylvania	1.6	155,874	156,289	-58	415	78
7	Rock County	Wisconsin	1.5	163,643	164,381	-44	738	88
7	Allen County	Ohio	1.5	102,059	101,670	-147	-389	98
8	Stark County	Ohio	1.3	374,357	373,834	-496	-523	251
8	Utah County	Utah	1.3	663,143	684,986	3,744	21,843	132
8	Davis County	Utah	1.3	363,492	367,285	813	3,793	474
9	Bonneville County	Idaho	1.2	124,626	127,930	662	3,304	26
10	Allen County	Indiana	1.0	385,892	388,608	482	2,716	228
10	Medina County	Ohio	1.0	182,550	183,092	80	542	168
10	Tolland County	Connecticut	1.0	149,650	150,293	-138	643	141
10	Salt Lake County	Utah	1.0	1,186,236	1,186,421	998	185	617
