rank	name	state	ancestry_ukranian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Bucks County	Pennsylvania	2.0	646,008	646,098	-530	90	413
2	Schuylkill County	Pennsylvania	1.9	142,777	143,264	-272	487	71
3	Clark County	Washington	1.8	505,013	511,404	1,702	6,391	314
4	Hunterdon County	New Jersey	1.7	128,839	129,924	-108	1,085	117
5	Warren County	New Jersey	1.5	109,595	110,731	-37	1,136	120
5	Kings County	New York	1.5	2,727,393	2,641,052	-8,681	-86,341	14,698
5	Beaver County	Pennsylvania	1.5	167,732	166,624	-483	-1,108	148
6	Sacramento County	California	1.4	1,586,241	1,588,921	1,186	2,680	636
6	Grant County	Washington	1.4	99,365	100,297	242	932	14
7	Onondaga County	New York	1.3	475,653	473,236	-863	-2,417	235
7	Richmond County	New York	1.3	495,522	493,494	-225	-2,028	3,312
7	Northampton County	Pennsylvania	1.3	312,855	313,628	-96	773	327
7	Luzerne County	Pennsylvania	1.3	325,057	326,053	-537	996	141
8	Lackawanna County	Pennsylvania	1.2	215,516	215,663	-380	147	181
8	Cuyahoga County	Ohio	1.2	1,261,696	1,249,387	-3,121	-12,309	1,055
8	Lehigh County	Pennsylvania	1.2	374,504	375,539	-53	1,035	420
8	Snohomish County	Washington	1.2	829,331	833,540	1,374	4,209	154
8	Mahoning County	Ohio	1.2	227,948	226,762	-666	-1,186	213
8	Multnomah County	Oregon	1.2	815,871	803,377	443	-12,494	719
8	Montgomery County	Pennsylvania	1.2	856,947	860,578	394	3,631	688
8	Spartanburg County	South Carolina	1.2	329,364	335,864	1,367	6,500	160
8	Monroe County	New York	1.2	758,554	755,160	-889	-3,394	444
8	Clackamas County	Oregon	1.2	422,160	422,537	759	377	87
9	King County	Washington	1.1	2,272,571	2,252,305	2,896	-20,266	411
9	Oneida County	New York	1.1	231,695	230,274	-430	-1,421	73
9	Bradley County	Tennessee	1.1	108,741	110,162	121	1,421	129
9	Sussex County	New Jersey	1.1	144,082	145,543	-139	1,461	108
9	Morris County	New Jersey	1.1	509,001	510,981	-284	1,980	428
10	Albany County	New York	1.0	314,368	313,743	-480	-625	232
10	Westmoreland County	Pennsylvania	1.0	353,998	353,057	-665	-941	133
10	Allegheny County	Pennsylvania	1.0	1,248,717	1,238,090	-1,861	-10,627	655
10	Medina County	Ohio	1.0	182,550	183,092	80	542	168
