rank	name	state	ancestry_welsh	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Lackawanna County	Pennsylvania	4.7	215,516	215,663	-380	147	181
2	Luzerne County	Pennsylvania	3.9	325,057	326,053	-537	996	141
3	Cache County	Utah	2.6	133,527	137,417	373	3,890	46
4	Schuylkill County	Pennsylvania	2.5	142,777	143,264	-272	487	71
5	Utah County	Utah	2.3	663,143	684,986	3,744	21,843	132
6	Mahoning County	Ohio	2.2	227,948	226,762	-666	-1,186	213
6	Oneida County	New York	2.2	231,695	230,274	-430	-1,421	73
7	Mercer County	Pennsylvania	2.0	110,333	109,972	-319	-361	63
7	Bonneville County	Idaho	2.0	124,626	127,930	662	3,304	26
8	Davis County	Utah	1.8	363,492	367,285	813	3,793	474
8	Delaware County	Ohio	1.8	215,062	220,740	938	5,678	192
9	Kootenai County	Idaho	1.7	172,646	179,789	1,284	7,143	56
9	Weber County	Utah	1.7	262,828	267,066	605	4,238	179
9	Columbiana County	Ohio	1.7	101,607	101,310	-270	-297	74
9	Licking County	Ohio	1.7	178,680	180,401	161	1,721	102
9	Salt Lake County	Utah	1.7	1,186,236	1,186,421	998	185	617
9	Fairfield County	Ohio	1.7	159,357	161,064	436	1,707	123
10	Chester County	Pennsylvania	1.6	534,645	538,649	232	4,004	277
10	Washington County	Utah	1.6	181,924	191,226	1,645	9,302	30
10	Northampton County	Pennsylvania	1.6	312,855	313,628	-96	773	327
