rank	name	state	built_1939_earlier	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	St. Louis city	Missouri	58.2	300,528	293,310	-1,050	-7,218	1,834
2	Kings County	New York	50.2	2,727,393	2,641,052	-8,681	-86,341	14,698
3	Suffolk County	Massachusetts	48.7	795,431	771,245	-2,505	-24,186	5,112
4	Schuylkill County	Pennsylvania	47.6	142,777	143,264	-272	487	71
5	San Francisco County	California	46.4	870,014	815,201	-3,951	-54,813	6,709
6	Baltimore city	Maryland	44.3	583,132	576,498	-2,576	-6,634	2,750
7	New York County	New York	42.7	1,687,834	1,576,876	-6,417	-110,958	26,871
8	Philadelphia County	Pennsylvania	41.3	1,601,005	1,576,251	-2,792	-24,754	4,530
9	Chautauqua County	New York	38.7	127,424	126,807	-233	-617	46
10	Lackawanna County	Pennsylvania	38.0	215,516	215,663	-380	147	181
