rank	name	state	built_1960_1969	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Rockland County	New York	21.7	338,121	339,227	-208	1,106	754
2	Marin County	California	20.7	261,776	260,206	-545	-1,570	193
3	Jefferson Parish	Louisiana	20.6	439,845	433,688	-936	-6,157	556
4	Suffolk County	New York	20.3	1,524,099	1,526,344	-1,821	2,245	647
5	Santa Barbara County	California	20.0	448,096	446,475	-133	-1,621	63
6	Ventura County	California	19.5	842,921	839,784	-922	-3,137	176
7	Orange County	California	19.2	3,184,101	3,167,809	-2,888	-16,292	1,543
8	St. Louis County	Missouri	19.0	1,002,838	997,187	-1,287	-5,651	758
9	Hampton city	Virginia	18.7	137,131	137,746	-17	615	1,033
10	Prince George's County	Maryland	18.4	965,601	955,306	-1,600	-10,295	764
10	Honolulu County	Hawaii	18.4	1,013,227	1,000,890	-3,281	-12,337	643
