rank	name	state	built_2014_later	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Hays County	Texas	18.0	243,809	255,397	2,742	11,588	146
2	Dallas County	Iowa	17.5	100,486	103,796	808	3,310	68
3	Comal County	Texas	15.5	163,573	174,986	2,072	11,413	121
4	Williamson County	Texas	15.1	615,266	643,026	6,249	27,760	223
5	Fort Bend County	Texas	14.3	828,632	858,527	5,853	29,895	385
6	Montgomery County	Texas	13.7	624,938	648,886	4,495	23,948	240
7	Forsyth County	Georgia	13.4	252,786	260,206	1,503	7,420	447
8	Rockwall County	Texas	13.2	109,090	116,381	1,271	7,291	353
9	Denton County	Texas	13.0	913,900	941,647	7,478	27,747	414
10	Williamson County	Tennessee	12.6	249,424	255,735	1,698	6,311	169
