rank	name	state	class_govt	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Charles County	Maryland	33.7	166,682	168,698	65	2,016	142
2	Navajo County	Arizona	32.5	106,802	108,147	85	1,345	4
3	St. Mary's County	Maryland	32.4	113,953	114,468	176	515	123
4	Stafford County	Virginia	32.3	157,604	160,877	677	3,273	231
5	Leon County	Florida	30.1	292,378	292,817	180	439	169
6	Houston County	Georgia	28.7	164,242	166,829	609	2,587	171
6	Cochise County	Arizona	28.7	125,398	126,050	-49	652	8
7	Thurston County	Washington	28.5	295,729	297,977	936	2,248	159
8	Kitsap County	Washington	28.4	275,660	274,314	49	-1,346	268
9	Yolo County	California	28.2	216,255	216,986	-148	731	83
10	Champaign County	Illinois	27.9	205,469	205,943	-396	474	80
