rank	name	state	class_private	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Lehigh County	Pennsylvania	88.1	374,504	375,539	-53	1,035	420
2	Kent County	Michigan	87.6	658,040	658,046	66	6	299
3	Allen County	Indiana	87.4	385,892	388,608	482	2,716	228
4	Waukesha County	Wisconsin	87.1	407,148	408,756	170	1,608	287
4	Ottawa County	Michigan	87.1	296,787	299,157	587	2,370	205
4	Vanderburgh County	Indiana	87.1	180,158	179,987	22	-171	298
4	Elkhart County	Indiana	87.1	206,842	206,921	-205	79	172
5	Mecklenburg County	North Carolina	87.0	1,118,340	1,122,276	2,858	3,936	828
5	Montgomery County	Pennsylvania	87.0	856,947	860,578	394	3,631	688
6	St. Joseph County	Indiana	86.9	272,549	272,212	-363	-337	230
6	Oakland County	Michigan	86.9	1,272,408	1,270,017	-1,987	-2,391	565
7	DuPage County	Illinois	86.8	931,153	924,885	-1,724	-6,268	1,089
8	Sheboygan County	Wisconsin	86.7	117,937	117,747	-97	-190	89
8	Macomb County	Michigan	86.7	880,349	876,792	-868	-3,557	706
9	St. Charles County	Missouri	86.6	406,258	409,981	996	3,723	282
10	Minnehaha County	South Dakota	86.5	197,511	199,685	297	2,174	96
10	Lake County	Indiana	86.5	498,597	498,558	-103	-39	386
10	Monroe County	Michigan	86.5	154,796	155,274	-13	478	109
10	Peoria County	Illinois	86.5	181,225	179,432	-605	-1,793	112
