rank	name	state	class_selfemployed	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Nevada County	California	16.2	102,199	103,487	-42	1,288	42
2	Marin County	California	15.1	261,776	260,206	-545	-1,570	193
3	Humboldt County	California	13.6	136,351	136,310	-112	-41	15
4	Hawaii County	Hawaii	11.6	200,746	202,906	117	2,160	19
5	Santa Fe County	New Mexico	11.2	154,977	155,201	154	224	31
6	Yavapai County	Arizona	10.7	237,067	242,253	858	5,186	12
7	Hidalgo County	Texas	10.6	872,204	880,356	1,423	8,152	216
7	Sonoma County	California	10.6	488,345	485,887	-518	-2,458	119
8	El Dorado County	California	10.1	191,114	193,221	-71	2,107	44
9	Barnstable County	Massachusetts	9.9	228,969	232,411	-27	3,442	228
10	Santa Cruz County	California	9.7	270,353	267,792	-508	-2,561	232
