rank	name	state	earnings_female	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	81640	238,766	232,965	123	-5,801	3,460
2	San Francisco County	California	81144	870,014	815,201	-3,951	-54,813	6,709
3	Marin County	California	79611	261,776	260,206	-545	-1,570	193
4	New York County	New York	78955	1,687,834	1,576,876	-6,417	-110,958	26,871
5	Alexandria city	Virginia	74754	159,097	154,706	-370	-4,391	3,999
6	San Mateo County	California	74444	762,453	737,888	-1,989	-24,565	635
7	District of Columbia	District of Columbia	73682	690,093	670,050	548	-20,043	4,232
8	Howard County	Maryland	72484	332,722	334,529	405	1,807	515
9	Fairfax County	Virginia	71748	1,148,472	1,139,720	-1,837	-8,752	1,125
10	Santa Clara County	California	71492	1,930,598	1,885,508	-5,661	-45,090	564
