rank	name	state	earnings_male	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Loudoun County	Virginia	106757	422,597	427,592	1,638	4,995	320
2	Marin County	California	103506	261,776	260,206	-545	-1,570	193
3	Santa Clara County	California	100228	1,930,598	1,885,508	-5,661	-45,090	564
4	San Francisco County	California	99911	870,014	815,201	-3,951	-54,813	6,709
5	Arlington County	Virginia	98889	238,766	232,965	123	-5,801	3,460
6	Howard County	Maryland	96834	332,722	334,529	405	1,807	515
7	New York County	New York	96611	1,687,834	1,576,876	-6,417	-110,958	26,871
8	Forsyth County	Georgia	93621	252,786	260,206	1,503	7,420	447
9	Douglas County	Colorado	93092	360,102	368,990	2,124	8,888	170
10	Morris County	New Jersey	92765	509,001	510,981	-284	1,980	428
