rank	name	state	earnings_median	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	73387	238,766	232,965	123	-5,801	3,460
2	Loudoun County	Virginia	65053	422,597	427,592	1,638	4,995	320
3	San Francisco County	California	64948	870,014	815,201	-3,951	-54,813	6,709
4	New York County	New York	63418	1,687,834	1,576,876	-6,417	-110,958	26,871
5	Alexandria city	Virginia	62795	159,097	154,706	-370	-4,391	3,999
6	Howard County	Maryland	62468	332,722	334,529	405	1,807	515
7	District of Columbia	District of Columbia	59677	690,093	670,050	548	-20,043	4,232
8	Hunterdon County	New Jersey	58607	128,839	129,924	-108	1,085	117
9	Santa Clara County	California	58214	1,930,598	1,885,508	-5,661	-45,090	564
10	Marin County	California	58072	261,776	260,206	-545	-1,570	193
