rank	name	state	edu_9_less	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Hidalgo County	Texas	19.9	872,204	880,356	1,423	8,152	216
2	Monterey County	California	18.4	438,500	437,325	-535	-1,175	51
3	Merced County	California	17.9	281,726	286,461	524	4,735	57
4	Cameron County	Texas	17.5	421,191	423,029	174	1,838	183
5	Webb County	Texas	17.3	267,234	267,945	120	711	31
6	Tulare County	California	17.2	473,736	477,054	619	3,318	38
7	Madera County	California	16.6	156,620	159,410	365	2,790	29
8	Imperial County	California	15.0	179,489	179,851	-213	362	17
9	Yakima County	Washington	14.9	256,533	256,035	-195	-498	23
10	Whitfield County	Georgia	14.3	102,727	102,848	-137	121	137
