rank	name	state	edu_bachelor_degree	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Williamson County	Tennessee	38.1	249,424	255,735	1,698	6,311	169
2	Douglas County	Colorado	37.9	360,102	368,990	2,124	8,888	170
3	Hamilton County	Indiana	36.6	348,868	356,650	1,401	7,782	349
4	Forsyth County	Georgia	35.5	252,786	260,206	1,503	7,420	447
5	Arlington County	Virginia	35.3	238,766	232,965	123	-5,801	3,460
6	Loudoun County	Virginia	35.2	422,597	427,592	1,638	4,995	320
7	San Francisco County	California	35.0	870,014	815,201	-3,951	-54,813	6,709
8	Johnson County	Kansas	34.6	610,536	613,219	673	2,683	500
8	Boulder County	Colorado	34.6	330,811	329,543	53	-1,268	175
9	Marin County	California	34.4	261,776	260,206	-545	-1,570	193
9	Dallas County	Iowa	34.4	100,486	103,796	808	3,310	68
10	Delaware County	Ohio	33.9	215,062	220,740	938	5,678	192
