rank	name	state	edu_bachelor_higher	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	75.8	238,766	232,965	123	-5,801	3,460
2	Alexandria city	Virginia	65.1	159,097	154,706	-370	-4,391	3,999
3	Boulder County	Colorado	63.0	330,811	329,543	53	-1,268	175
4	Howard County	Maryland	62.7	332,722	334,529	405	1,807	515
5	New York County	New York	62.2	1,687,834	1,576,876	-6,417	-110,958	26,871
6	Fairfax County	Virginia	62.1	1,148,472	1,139,720	-1,837	-8,752	1,125
7	Loudoun County	Virginia	61.6	422,597	427,592	1,638	4,995	320
8	Orange County	North Carolina	60.8	148,792	148,884	96	92	145
9	Williamson County	Tennessee	60.5	249,424	255,735	1,698	6,311	169
10	Marin County	California	60.2	261,776	260,206	-545	-1,570	193
