rank	name	state	edu_college_nodegree	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Shasta County	California	32.0	181,893	182,139	-262	246	19
2	Linn County	Oregon	31.3	128,936	129,839	326	903	22
3	Cowlitz County	Washington	30.3	110,924	111,524	194	600	38
4	Kootenai County	Idaho	30.2	172,646	179,789	1,284	7,143	56
5	Yavapai County	Arizona	29.8	237,067	242,253	858	5,186	12
6	Navajo County	Arizona	29.7	106,802	108,147	85	1,345	4
7	Mohave County	Arizona	29.6	214,070	217,692	803	3,622	6
8	Douglas County	Oregon	29.1	111,235	111,978	34	743	9
9	Cumberland County	North Carolina	28.7	334,370	335,508	-358	1,138	199
9	Yamhill County	Oregon	28.7	107,832	108,239	110	407	58
9	San Juan County	New Mexico	28.7	121,429	120,993	-232	-436	8
10	Washington County	Utah	28.5	181,924	191,226	1,645	9,302	30
10	Onslow County	North Carolina	28.5	204,735	206,160	159	1,425	104
