rank	name	state	edu_grad_degree	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	40.5	238,766	232,965	123	-5,801	3,460
2	Orange County	North Carolina	34.8	148,792	148,884	96	92	145
3	District of Columbia	District of Columbia	34.5	690,093	670,050	548	-20,043	4,232
4	Alexandria city	Virginia	33.8	159,097	154,706	-370	-4,391	3,999
5	Howard County	Maryland	32.3	332,722	334,529	405	1,807	515
6	Montgomery County	Maryland	32.0	1,061,243	1,054,827	-818	-6,416	826
7	Fairfax County	Virginia	31.1	1,148,472	1,139,720	-1,837	-8,752	1,125
8	New York County	New York	30.5	1,687,834	1,576,876	-6,417	-110,958	26,871
9	Washtenaw County	Michigan	30.0	371,656	369,390	-602	-2,266	202
10	Tompkins County	New York	29.6	105,404	105,162	-336	-242	86
