rank	name	state	edu_highschool	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Fayette County	Pennsylvania	48.1	128,393	126,931	-411	-1,462	62
2	Schuylkill County	Pennsylvania	45.9	142,777	143,264	-272	487	71
3	Columbiana County	Ohio	44.8	101,607	101,310	-270	-297	74
4	Cambria County	Pennsylvania	44.3	132,957	132,167	-515	-790	74
4	Blair County	Pennsylvania	44.3	122,518	121,767	-304	-751	90
5	Lebanon County	Pennsylvania	44.1	143,242	143,493	-15	251	153
6	Trumbull County	Ohio	44.0	201,405	201,335	-572	-70	126
7	Franklin County	Pennsylvania	43.4	155,874	156,289	-58	415	78
8	Mercer County	Pennsylvania	41.8	110,333	109,972	-319	-361	63
9	Richland County	Ohio	40.5	124,840	125,195	-96	355	98
10	Madison County	Indiana	40.1	130,065	130,782	-64	717	112
