rank	name	state	edu_highschool_higher	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Douglas County	Colorado	98.0	360,102	368,990	2,124	8,888	170
2	Hamilton County	Indiana	97.1	348,868	356,650	1,401	7,782	349
3	Gallatin County	Montana	97.0	119,502	122,713	542	3,211	18
4	Delaware County	Ohio	96.8	215,062	220,740	938	5,678	192
5	Carver County	Minnesota	96.4	107,286	108,626	364	1,340	118
6	McLean County	Illinois	96.2	170,870	170,889	-84	19	56
6	Larimer County	Colorado	96.2	359,686	362,533	620	2,847	54
6	Waukesha County	Wisconsin	96.2	407,148	408,756	170	1,608	287
6	Dane County	Wisconsin	96.2	562,306	563,951	802	1,645	182
7	Johnson County	Kansas	96.1	610,536	613,219	673	2,683	500
7	Platte County	Missouri	96.1	107,100	108,569	382	1,469	100
8	Washington County	Minnesota	96.0	268,191	272,256	623	4,065	273
9	Davis County	Utah	95.9	363,492	367,285	813	3,793	474
10	Missoula County	Montana	95.8	118,238	119,533	316	1,295	18
10	Barnstable County	Massachusetts	95.8	228,969	232,411	-27	3,442	228
