rank	name	state	employed	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	74.8	238,766	232,965	123	-5,801	3,460
2	Scott County	Minnesota	73.6	151,265	153,268	337	2,003	166
2	Cass County	North Dakota	73.6	184,868	186,562	343	1,694	41
3	Alexandria city	Virginia	73.5	159,097	154,706	-370	-4,391	3,999
4	Minnehaha County	South Dakota	72.4	197,511	199,685	297	2,174	96
5	Carver County	Minnesota	72.2	107,286	108,626	364	1,340	118
5	Loudoun County	Virginia	72.2	422,597	427,592	1,638	4,995	320
6	Dallas County	Iowa	71.9	100,486	103,796	808	3,310	68
7	Wright County	Minnesota	71.3	141,759	144,845	422	3,086	85
8	Dakota County	Minnesota	70.4	440,317	442,038	435	1,721	303
9	Hamilton County	Indiana	70.0	348,868	356,650	1,401	7,782	349
9	Gallatin County	Montana	70.0	119,502	122,713	542	3,211	18
10	Travis County	Texas	69.8	1,296,100	1,305,154	5,912	9,054	507
10	Johnson County	Kansas	69.8	610,536	613,219	673	2,683	500
