rank	name	state	grapi_15_less	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Benton County	Arkansas	25.6	286,353	293,692	2,020	7,339	134
2	Limestone County	Alabama	25.5	104,322	107,517	752	3,195	74
3	Navajo County	Arizona	24.7	106,802	108,147	85	1,345	4
4	Terrebonne Parish	Louisiana	24.2	109,319	108,708	-261	-611	34
4	San Francisco County	California	24.2	870,014	815,201	-3,951	-54,813	6,709
5	Marathon County	Wisconsin	22.8	137,954	137,648	-59	-306	34
6	Delaware County	Ohio	22.7	215,062	220,740	938	5,678	192
7	Woodbury County	Iowa	22.5	105,829	105,607	-112	-222	47
8	Sheboygan County	Wisconsin	22.4	117,937	117,747	-97	-190	89
9	Fond du Lac County	Wisconsin	22.3	104,076	104,362	-78	286	56
10	Grant County	Washington	21.7	99,365	100,297	242	932	14
10	Whitfield County	Georgia	21.7	102,727	102,848	-137	121	137
