rank	name	state	grapi_35_more	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	56.1	130,897	135,638	1,145	4,741	94
2	Miami-Dade County	Florida	54.1	2,692,459	2,662,777	-9,308	-29,682	541
3	Cumberland County	New Jersey	53.4	153,848	153,627	-304	-221	123
4	Humboldt County	California	52.7	136,351	136,310	-112	-41	15
5	Alachua County	Florida	52.3	278,684	279,238	216	554	123
6	Tompkins County	New York	52.0	105,404	105,162	-336	-242	86
7	Broward County	Florida	51.9	1,941,516	1,930,983	-2,859	-10,533	620
8	Brazos County	Texas	51.8	234,480	237,032	631	2,552	156
8	Orleans Parish	Louisiana	51.8	383,282	376,971	-715	-6,311	859
9	Centre County	Pennsylvania	51.5	157,929	157,527	-243	-402	55
10	Ocean County	New Jersey	51.3	638,824	648,998	1,595	10,174	399
