rank	name	state	housing_total	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Los Angeles County	California	3559790	9,989,165	9,829,544	-24,844	-159,621	935
2	Cook County	Illinois	2198489	5,262,741	5,173,146	-12,800	-89,595	2,114
3	Harris County	Texas	1795219	4,732,491	4,728,030	1,346	-4,461	1,069
4	Maricopa County	Arizona	1765880	4,438,342	4,496,588	17,774	58,246	189
5	San Diego County	California	1215528	3,297,252	3,286,069	-1,382	-11,183	301
6	Orange County	California	1101244	3,184,101	3,167,809	-2,888	-16,292	1,543
7	Kings County	New York	1055660	2,727,393	2,641,052	-8,681	-86,341	14,698
8	Miami-Dade County	Florida	1032310	2,692,459	2,662,777	-9,308	-29,682	541
9	Dallas County	Texas	1027813	2,610,957	2,586,050	-2,582	-24,907	1,144
10	King County	Washington	952344	2,272,571	2,252,305	2,896	-20,266	411
