rank	name	state	housing_vacant	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Barnstable County	Massachusetts	41.6	228,969	232,411	-27	3,442	228
2	Navajo County	Arizona	37.5	106,802	108,147	85	1,345	4
3	Brunswick County	North Carolina	35.5	138,084	144,215	1,391	6,131	66
4	Horry County	South Carolina	35.2	353,498	365,579	2,469	12,081	125
5	Sussex County	Delaware	33.2	238,912	247,527	1,534	8,615	102
6	Collier County	Florida	32.2	377,079	385,980	1,327	8,901	75
7	Osceola County	Florida	29.7	390,855	403,282	2,199	12,427	117
8	Bay County	Florida	29.3	174,461	179,168	-755	4,707	91
9	Jefferson County	New York	28.4	116,134	116,295	-587	161	35
10	Baldwin County	Alabama	28.0	233,140	239,294	1,373	6,154	58
10	Lee County	Florida	28.0	764,679	787,976	3,857	23,297	390
