rank	name	state	in_arts_food	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Clark County	Nevada	26.1	2,273,386	2,292,476	7,925	19,090	112
2	Maui County	Hawaii	22.9	164,655	164,221	-99	-434	55
3	Osceola County	Florida	22.2	390,855	403,282	2,199	12,427	117
4	Atlantic County	New Jersey	21.7	274,191	274,966	-343	775	191
5	Horry County	South Carolina	19.8	353,498	365,579	2,469	12,081	125
6	Coconino County	Arizona	18.8	145,116	145,052	15	-64	3
7	Orange County	Florida	18.3	1,429,899	1,422,746	-9	-7,153	608
7	Harrison County	Mississippi	18.3	208,613	209,396	-8	783	141
8	Mohave County	Arizona	17.8	214,070	217,692	803	3,622	6
9	Orleans Parish	Louisiana	16.6	383,282	376,971	-715	-6,311	859
10	Hawaii County	Hawaii	16.4	200,746	202,906	117	2,160	19
