rank	name	state	in_construction	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Bastrop County	Texas	14.6	97,983	102,058	767	4,075	44
2	Livingston Parish	Louisiana	14.1	142,726	145,830	444	3,104	87
3	Jefferson County	Texas	13.4	255,979	253,704	-547	-2,275	112
4	Calcasieu Parish	Louisiana	12.7	216,416	205,282	-369	-11,134	74
5	Lee County	Florida	12.1	764,679	787,976	3,857	23,297	390
6	Adams County	Colorado	11.9	520,163	522,140	591	1,977	173
7	Matanuska-Susitna Borough	Alaska	11.5	107,460	110,686	379	3,226	2
8	Collier County	Florida	11.4	377,079	385,980	1,327	8,901	75
8	Franklin County	Missouri	11.4	104,769	105,231	87	462	44
9	Wright County	Minnesota	11.2	141,759	144,845	422	3,086	85
10	Brunswick County	North Carolina	11.1	138,084	144,215	1,391	6,131	66
