rank	name	state	in_finance	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Dallas County	Iowa	20.7	100,486	103,796	808	3,310	68
2	McLean County	Illinois	18.4	170,870	170,889	-84	19	56
3	New York County	New York	16.3	1,687,834	1,576,876	-6,417	-110,958	26,871
4	Polk County	Iowa	15.3	492,769	496,844	368	4,075	335
5	Mecklenburg County	North Carolina	13.8	1,118,340	1,122,276	2,858	3,936	828
6	Delaware County	Ohio	13.2	215,062	220,740	938	5,678	192
7	St. Johns County	Florida	12.8	276,916	292,466	3,491	15,550	188
8	Collin County	Texas	12.3	1,073,149	1,109,462	8,684	36,313	509
9	Henrico County	Virginia	12.1	334,298	333,554	-91	-744	551
10	Douglas County	Colorado	12.0	360,102	368,990	2,124	8,888	170
10	Fairfield County	Connecticut	12.0	955,895	959,768	-1,524	3,873	593
10	Hudson County	New Jersey	12.0	722,655	702,463	-2,199	-20,192	5,871
