rank	name	state	in_information	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	San Francisco County	California	6.2	870,014	815,201	-3,951	-54,813	6,709
2	New York County	New York	5.9	1,687,834	1,576,876	-6,417	-110,958	26,871
3	Santa Clara County	California	5.2	1,930,598	1,885,508	-5,661	-45,090	564
4	Douglas County	Colorado	5.1	360,102	368,990	2,124	8,888	170
5	Kings County	New York	4.8	2,727,393	2,641,052	-8,681	-86,341	14,698
6	San Mateo County	California	4.6	762,453	737,888	-1,989	-24,565	635
7	Los Angeles County	California	4.5	9,989,165	9,829,544	-24,844	-159,621	935
7	Forsyth County	Georgia	4.5	252,786	260,206	1,503	7,420	447
8	Somerset County	New Jersey	4.3	345,014	345,647	-347	633	442
9	Fulton County	Georgia	4.1	1,069,023	1,065,334	2,313	-3,689	781
10	Marin County	California	3.9	261,776	260,206	-545	-1,570	193
