rank	name	state	in_manufacturing	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Whitfield County	Georgia	38.2	102,727	102,848	-137	121	137
2	Elkhart County	Indiana	34.3	206,842	206,921	-205	79	172
3	Sheboygan County	Wisconsin	32.9	117,937	117,747	-97	-190	89
4	Catawba County	North Carolina	26.8	160,747	161,723	137	976	156
5	Miami County	Ohio	26.6	108,821	109,264	47	443	104
5	Muskegon County	Michigan	26.6	175,817	176,511	-7	694	135
6	Allegan County	Michigan	25.7	120,596	120,950	94	354	57
7	Wayne County	Ohio	23.8	116,840	116,710	-54	-130	81
8	Ottawa County	Michigan	23.7	296,787	299,157	587	2,370	205
9	Winnebago County	Wisconsin	23.6	171,646	171,623	-84	-23	152
10	Winnebago County	Illinois	22.8	284,858	283,119	-492	-1,739	213
10	Rock County	Wisconsin	22.8	163,643	164,381	-44	738	88
10	Randolph County	North Carolina	22.8	144,334	145,172	163	838	72
