rank	name	state	in_other	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	District of Columbia	District of Columbia	9.5	690,093	670,050	548	-20,043	4,232
2	Arlington County	Virginia	8.0	238,766	232,965	123	-5,801	3,460
3	Alexandria city	Virginia	7.8	159,097	154,706	-370	-4,391	3,999
4	Citrus County	Florida	7.5	154,403	158,083	560	3,680	105
5	Nevada County	California	7.1	102,199	103,487	-42	1,288	42
5	Bradley County	Tennessee	7.1	108,741	110,162	121	1,421	129
6	Montgomery County	Maryland	7.0	1,061,243	1,054,827	-818	-6,416	826
7	Henderson County	North Carolina	6.9	116,493	116,829	212	336	121
7	Sumter County	Florida	6.9	130,897	135,638	1,145	4,741	94
8	St. Lucie County	Florida	6.8	331,275	343,579	2,049	12,304	232
9	Yavapai County	Arizona	6.7	237,067	242,253	858	5,186	12
10	Garland County	Arkansas	6.6	100,162	100,330	-18	168	57
