rank	name	state	in_professional	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	30.2	238,766	232,965	123	-5,801	3,460
2	Loudoun County	Virginia	29.1	422,597	427,592	1,638	4,995	320
3	Fairfax County	Virginia	25.9	1,148,472	1,139,720	-1,837	-8,752	1,125
4	San Francisco County	California	25.7	870,014	815,201	-3,951	-54,813	6,709
5	District of Columbia	District of Columbia	24.0	690,093	670,050	548	-20,043	4,232
6	Alexandria city	Virginia	23.7	159,097	154,706	-370	-4,391	3,999
7	Santa Clara County	California	22.0	1,930,598	1,885,508	-5,661	-45,090	564
8	Montgomery County	Maryland	21.7	1,061,243	1,054,827	-818	-6,416	826
9	Fulton County	Georgia	21.6	1,069,023	1,065,334	2,313	-3,689	781
10	New York County	New York	21.0	1,687,834	1,576,876	-6,417	-110,958	26,871
