rank	name	state	in_public_admin	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Charles County	Maryland	20.1	166,682	168,698	65	2,016	142
1	Stafford County	Virginia	20.1	157,604	160,877	677	3,273	231
2	St. Mary's County	Maryland	18.3	113,953	114,468	176	515	123
3	Thurston County	Washington	17.0	295,729	297,977	936	2,248	159
4	Arlington County	Virginia	16.9	238,766	232,965	123	-5,801	3,460
5	Cochise County	Arizona	16.8	125,398	126,050	-49	652	8
5	District of Columbia	District of Columbia	16.8	690,093	670,050	548	-20,043	4,232
6	Houston County	Georgia	16.4	164,242	166,829	609	2,587	171
7	Alexandria city	Virginia	16.1	159,097	154,706	-370	-4,391	3,999
8	Leon County	Florida	14.2	292,378	292,817	180	439	169
9	Prince George's County	Maryland	13.6	965,601	955,306	-1,600	-10,295	764
10	Kings County	California	12.9	152,627	153,443	141	816	43
