rank	name	state	in_retail	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Benton County	Arkansas	21.5	286,353	293,692	2,020	7,339	134
2	Johnson County	Texas	18.3	180,733	187,280	806	6,547	100
3	Sumter County	Florida	16.9	130,897	135,638	1,145	4,741	94
4	Highlands County	Florida	16.3	101,222	103,296	-13	2,074	39
5	Horry County	South Carolina	16.2	353,498	365,579	2,469	12,081	125
5	Lowndes County	Georgia	16.2	118,316	119,276	65	960	93
6	Citrus County	Florida	15.9	154,403	158,083	560	3,680	105
7	Eau Claire County	Wisconsin	15.6	105,818	106,452	108	634	64
8	Marion County	Florida	15.5	377,370	385,915	1,462	8,545	94
9	Indian River County	Florida	15.4	160,345	163,662	557	3,317	126
10	Polk County	Florida	15.2	729,233	753,520	4,187	24,287	162
10	Onslow County	North Carolina	15.2	204,735	206,160	159	1,425	104
10	Charlotte County	Florida	15.2	187,960	194,843	1,113	6,883	110
10	Garland County	Arkansas	15.2	100,162	100,330	-18	168	57
