rank	name	state	in_transportation	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Webb County	Texas	14.9	267,234	267,945	120	711	31
2	Henry County	Georgia	14.3	241,818	245,235	1,106	3,417	297
3	DeSoto County	Mississippi	13.8	185,902	188,633	588	2,731	153
3	Clayton County	Georgia	13.8	297,417	297,100	-178	-317	810
4	Shelby County	Tennessee	13.5	928,644	924,454	-1,100	-4,190	469
5	Fayette County	Georgia	12.5	119,441	120,574	247	1,133	239
6	Coweta County	Georgia	11.4	146,653	149,956	495	3,303	131
7	San Bernardino County	California	10.5	2,182,740	2,194,710	1,086	11,970	42
8	Union County	New Jersey	10.2	574,349	572,114	-996	-2,235	2,149
9	Anchorage Municipality	Alaska	9.8	290,637	288,121	-610	-2,516	65
9	Douglas County	Georgia	9.8	144,497	145,814	260	1,317	281
10	Beaver County	Pennsylvania	9.2	167,732	166,624	-483	-1,108	148
