rank	name	state	in_wholesale	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	DeSoto County	Mississippi	4.6	185,902	188,633	588	2,731	153
2	Yakima County	Washington	4.4	256,533	256,035	-195	-498	23
2	Ascension Parish	Louisiana	4.4	126,984	128,369	484	1,385	171
3	Cumberland County	New Jersey	4.3	153,848	153,627	-304	-221	123
3	Lake County	Illinois	4.3	713,217	711,239	-1,125	-1,978	619
3	Wyandotte County	Kansas	4.3	168,873	167,046	-372	-1,827	425
4	Bergen County	New Jersey	4.2	954,774	953,819	-958	-955	1,582
4	Kent County	Michigan	4.2	658,040	658,046	66	6	299
5	Hanover County	Virginia	4.1	110,102	111,603	123	1,501	92
5	Kenosha County	Wisconsin	4.1	169,073	168,732	-78	-341	240
6	Cherokee County	Georgia	4.0	268,043	274,615	1,423	6,572	252
6	Hall County	Georgia	4.0	203,589	207,369	453	3,780	204
6	Shelby County	Alabama	4.0	223,708	226,902	684	3,194	112
6	Somerset County	New Jersey	4.0	345,014	345,647	-347	633	442
7	Kenton County	Kentucky	3.9	169,183	169,495	119	312	408
7	Ector County	Texas	3.9	165,467	161,091	296	-4,376	69
7	DuPage County	Illinois	3.9	931,153	924,885	-1,724	-6,268	1,089
7	Gloucester County	New Jersey	3.9	302,607	304,477	313	1,870	365
7	Boone County	Kentucky	3.9	136,403	137,412	435	1,009	215
7	Hamilton County	Indiana	3.9	348,868	356,650	1,401	7,782	349
8	Wright County	Minnesota	3.8	141,759	144,845	422	3,086	85
8	Webb County	Texas	3.8	267,234	267,945	120	711	31
8	Lafayette Parish	Louisiana	3.8	242,004	244,205	251	2,201	351
8	Montgomery County	Texas	3.8	624,938	648,886	4,495	23,948	240
8	York County	South Carolina	3.8	283,899	288,595	1,809	4,696	164
8	Wilson County	Tennessee	3.8	148,564	151,917	827	3,353	103
8	Kane County	Illinois	3.8	516,155	515,588	-367	-567	383
9	Comal County	Texas	3.7	163,573	174,986	2,072	11,413	121
9	Scott County	Minnesota	3.7	151,265	153,268	337	2,003	166
9	Ouachita Parish	Louisiana	3.7	160,003	158,768	-365	-1,235	100
9	Passaic County	New Jersey	3.7	523,100	518,117	-1,018	-4,983	1,075
9	Clackamas County	Oregon	3.7	422,160	422,537	759	377	87
9	Madison County	Mississippi	3.7	109,222	109,813	77	591	59
9	Gwinnett County	Georgia	3.7	957,801	964,546	739	6,745	865
9	Blair County	Pennsylvania	3.7	122,518	121,767	-304	-751	90
9	St. Tammany Parish	Louisiana	3.7	264,933	269,388	363	4,455	123
10	Iredell County	North Carolina	3.6	187,630	191,968	937	4,338	129
10	Lehigh County	Pennsylvania	3.6	374,504	375,539	-53	1,035	420
10	Middlesex County	New Jersey	3.6	861,908	860,807	-1,254	-1,101	1,075
10	Miami-Dade County	Florida	3.6	2,692,459	2,662,777	-9,308	-29,682	541
10	Marathon County	Wisconsin	3.6	137,954	137,648	-59	-306	34
10	Carroll County	Georgia	3.6	119,463	121,968	315	2,505	94
10	Livingston County	Michigan	3.6	193,973	195,014	107	1,041	133
10	Washington County	Wisconsin	3.6	136,732	137,175	-29	443	123
10	Rock County	Wisconsin	3.6	163,643	164,381	-44	738	88
10	Houston County	Alabama	3.6	107,190	107,458	-12	268	72
