rank	name	state	income_10000_less	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Lowndes County	Georgia	14.1	118,316	119,276	65	960	93
2	Bibb County	Georgia	13.5	157,104	156,762	-242	-342	243
3	Orleans Parish	Louisiana	13.4	383,282	376,971	-715	-6,311	859
4	Robeson County	North Carolina	13.1	116,361	116,328	-169	-33	47
5	Bronx County	New York	12.8	1,466,438	1,424,948	-6,216	-41,490	13,045
6	Champaign County	Illinois	12.7	205,469	205,943	-396	474	80
7	Lee County	Alabama	12.6	174,601	177,218	360	2,617	113
7	Clarke County	Georgia	12.6	128,489	128,711	-182	222	417
8	Navajo County	Arizona	12.4	106,802	108,147	85	1,345	4
9	Ouachita Parish	Louisiana	12.0	160,003	158,768	-365	-1,235	100
10	Philadelphia County	Pennsylvania	11.8	1,601,005	1,576,251	-2,792	-24,754	4,530
