rank	name	state	income_200000_more	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Loudoun County	Virginia	31.8	422,597	427,592	1,638	4,995	320
2	Santa Clara County	California	30.3	1,930,598	1,885,508	-5,661	-45,090	564
3	San Mateo County	California	30.1	762,453	737,888	-1,989	-24,565	635
4	Marin County	California	29.8	261,776	260,206	-545	-1,570	193
5	San Francisco County	California	29.0	870,014	815,201	-3,951	-54,813	6,709
6	Fairfax County	Virginia	26.5	1,148,472	1,139,720	-1,837	-8,752	1,125
7	Howard County	Maryland	25.6	332,722	334,529	405	1,807	515
8	Somerset County	New Jersey	25.3	345,014	345,647	-347	633	442
9	Nassau County	New York	25.1	1,393,978	1,390,907	-1,796	-3,071	1,887
10	Arlington County	Virginia	24.3	238,766	232,965	123	-5,801	3,460
